literal;functor;domain
last_booking_id(1);last_booking_id;booking
booking(GuestName, RoomType, CheckInDate, CheckOutDate);booking;booking
available(RoomType, CheckInDate, CheckOutDate);available;booking
fully_booked(CheckInDate);fully_booked;booking
has_reservation(GuestName, BookingId);has_reservation;booking
check_in(GuestName, RoomNumber);check_in;booking
check_out(GuestName);check_out;booking
room_price(RoomType, PricePerNight);room_price;booking
payment_status(BookingId, Status);payment_status;booking
request_early_checkin(GuestName, Date);request_early_checkin;booking
request_late_checkout(GuestName, Date);request_late_checkout;booking
confirmed_booking(BookingId);confirmed_booking;booking
cancel_booking(BookingId);cancel_booking;booking
review(HotelName, Rating);review;booking
booking(anna, double, "01/01/2026", "05/01/2026");booking;booking
booking(_, suite, "20/12/2025", "27/12/2025");booking;booking
available(single, "10/10/2025", _);available;booking
available(double, "02/02/2026", "10/02/2026");available;booking
available(_, "25/12/2025", "01/01/2026");available;booking
fully_booked("31/12/2025");fully_booked;booking
fully_booked("15/08/2025");fully_booked;booking
fully_booked("01/01/2026");fully_booked;booking
has_reservation(luca, 15);has_reservation;booking
has_reservation(_, 18);has_reservation;booking
check_in(maria, 101);check_in;booking
check_in(_, 202);check_in;booking
check_out(carlo);check_out;booking
check_out(alice);check_out;booking
check_out(_);check_out;booking
room_price(suite, 120);room_price;booking
room_price(_, 70);room_price;booking
room_price(single, 45);room_price;booking
room_price(double, _);room_price;booking
payment_status(14, pending);payment_status;booking
payment_status(15, completed);payment_status;booking
payment_status(16, failed);payment_status;booking
payment_status(_, cancelled);payment_status;booking
request_early_checkin(anna, "01/01/2026");request_early_checkin;booking
request_early_checkin(_, "02/01/2026");request_early_checkin;booking
request_early_checkin(gianni, _);request_early_checkin;booking
request_late_checkout(maria, "06/01/2026");request_late_checkout;booking
request_late_checkout(_, "16/10/2025");request_late_checkout;booking
request_late_checkout(_, _);request_late_checkout;booking
cancel_booking(9);cancel_booking;booking
cancel_booking(18);cancel_booking;booking
cancel_booking(_);cancel_booking;booking
confirmed_booking(9);confirmed_booking;booking
confirmed_booking(10);confirmed_booking;booking
confirmed_booking(_);confirmed_booking;booking
booking(_, double, "12/02/2026", "15/02/2026");booking;booking
booking(luca, _, "01/03/2026", "05/03/2026");booking;booking
booking(alice, suite, _, _);booking;booking
booking(_, _, "10/11/2025", _);booking;booking
available(_, _, _);available;booking
has_reservation(giulia, 22);has_reservation;booking
has_reservation(_, 23);has_reservation;booking
payment_status(23, _);payment_status;booking
payment_status(_, successful);payment_status;booking
room_price(suite, _);room_price;booking
room_price(_, 60);room_price;booking
room_price(_, _);room_price;booking
review(hotel_bella, 5);review;booking
review(hotel_lux, 4);review;booking
review(hotel_sole, 3);review;booking
review(_, 1);review;booking
review(_, 2);review;booking
review(_, _);review;booking
booking(_, _, "25/12/2025", "01/01/2026");booking;booking
booking(fabio, single, "24/12/2025", _);booking;booking
booking(chiara, _, _, "30/12/2025");booking;booking
booking(_, suite, "31/12/2025", "02/01/2026");booking;booking
check_in(gianni, 303);check_in;booking
check_in(piero, _);check_in;booking
check_out(luca);check_out;booking
check_out(_);check_out;booking
request_early_checkin(_, "24/12/2025");request_early_checkin;booking
request_late_checkout(chiara, _);request_late_checkout;booking
request_late_checkout(_, "02/01/2026");request_late_checkout;booking
cancel_booking(30);cancel_booking;booking
cancel_booking(31);cancel_booking;booking
cancel_booking(32);cancel_booking;booking
confirmed_booking(30);confirmed_booking;booking
confirmed_booking(31);confirmed_booking;booking
last_booking_id(32);last_booking_id;booking
last_booking_id(_);last_booking_id;booking
last_booking_id(50);last_booking_id;booking
last_booking_id(99);last_booking_id;booking
available(double, "15/10/2025", _);available;booking
available(single, "20/10/2025", "25/10/2025");available;booking
fully_booked("25/12/2025");fully_booked;booking
fully_booked("01/08/2025");fully_booked;booking
room_price(single, 40);room_price;booking
room_price(double, 55);room_price;booking
room_price(suite, 150);room_price;booking
payment_status(33, refunded);payment_status;booking
payment_status(34, completed);payment_status;booking
payment_status(_, _);payment_status;booking
booking(_, _, tomorrow, "01/07/2025");booking;booking
booking(federica, single, "15/09/2025", "18/09/2025");booking;booking
check_in(_, 105);check_in;booking
check_out(federica);check_out;booking
has_reservation(_, _);has_reservation;booking
vehicle_status(Status);vehicle_status;car_control
current_speed(Value, Unit);current_speed;car_control
target_speed(Value, Unit);target_speed;car_control
current_gear(Gear);current_gear;car_control
engine_state(State);engine_state;car_control
door_status(DoorName, State);door_status;car_control
light_status(LightType, State);light_status;car_control
fuel_level(Level);fuel_level;car_control
battery_charge(Percentage);battery_charge;car_control
tire_pressure(WheelPosition, PSI);tire_pressure;car_control
wiper_speed(Speed);wiper_speed;car_control
climate_control(unit(Temperature), FanSpeed, Mode);climate_control;car_control
seat_belt_fastened(SeatPosition, IsFastened);seat_belt_fastened;car_control
odometer_reading(Unit(Value), Unit(Time));odometer_reading;car_control
destination_set(AddressOrCoordinates);destination_set;car_control
vehicle_status(moving);vehicle_status;car_control
vehicle_status(maintenance_required);vehicle_status;car_control
current_speed(0, kph);current_speed;car_control
current_speed(65, mph);current_speed;car_control
current_speed(_, _);current_speed;car_control
target_speed(100, kph);target_speed;car_control
target_speed(60, mph);target_speed;car_control
current_gear(1);current_gear;car_control
current_gear(6);current_gear;car_control
current_gear(_);current_gear;car_control
engine_state(on);engine_state;car_control
engine_state(off);engine_state;car_control
engine_state(idle);engine_state;car_control
door_status(driver, closed);door_status;car_control
door_status(passenger, open);door_status;car_control
door_status(_, closed);door_status;car_control
door_status(rear_left, locked);door_status;car_control
door_status(rear_right, open);door_status;car_control
light_status(headlights, on);light_status;car_control
light_status(parking, off);light_status;car_control
light_status(_, off);light_status;car_control
light_status(braking, on);light_status;car_control
light_status(high_beam, on);light_status;car_control
fuel_level(medium);fuel_level;car_control
fuel_level(low);fuel_level;car_control
fuel_level(full);fuel_level;car_control
fuel_level(_);fuel_level;car_control
battery_charge(90);battery_charge;car_control
battery_charge(15);battery_charge;car_control
battery_charge(0);battery_charge;car_control
