sentence;performative;embedding;solution;domain
the last booking id is 4;tell;last_booking_id/1;last_booking_id(4);booking
gigi checked into room 12;tell;check_in/2;check_in(gigi, 12);booking
The price of a double room is 50 euros per night;tell;room_price/2;room_price(double, 50);booking
Payment for booking room 23 is completed succesfully;tell;payment_status/2;payment_status(23, successful);booking
They just called me, they cancelled booking number 38;tell;cancel_booking/1;cancel_booking(38);booking
A double room is available from the 25th December 2025;tell;available/3;"available(double, ""25/12/2025"", _)";booking
Jonhatan did the checkout yesterday;tell;check_out/1;check_out(jonhatan);booking
There are no more available rooms for 13 August 2025;tell;fully_booked/1;"fully_booked(""13/08/2025"")";booking
Carlo booked a single room from 10/10/2025 to 15/10/2025;tell;booking/4;"booking(carlo, single, ""10/10/2025"", ""15/10/2025"")";booking
Is there a reservation with 12 as a ID?;askOne;has_reservation/2;has_reservation(_, 12);booking
Is there a booking from Franco?;askOne;booking/4;booking(franco, _, _, _);booking
Was Alfredo's payment for booking number 8 successful?;askOne;payment_status/2;payment_status(8, successful);booking
Is single room available from 8th October 2025?;askOne;available/3;"available(single, ""8/10/2025"", _)";booking
Can you tell me the name of a hotel with 4 star rating?;askOne;review/2;review(_, 4);booking
Is booking number 21 cancelled?;askOne;cancel_booking/1;cancel_booking(21);booking
How much does a single room cost?;askOne;room_price/2;room_price(single, _);booking
Did Pino request an early checkin for 12/12/2025?;askOne;request_early_checkin/2;"request_early_checkin(pino, ""12/12/2025"")";booking
I want to know all the hotels with 5 stars review;askAll;review/2;review(_, 5);booking
Can you send me the prices of all rooms?;askAll;room_price/2;room_price(_, _);booking
Which are all the days in which we are fully booked?;askAll;fully_booked/1;fully_booked(_);booking
Which are the names of all the people that have a reservation?;askAll;has_reservation/2;has_reservation(_, _);booking
Tell me every payment with a rejected status;askAll;payment_status/2;payment_status(_, rejected);booking
Which rooms are available from the 12th Semptember 2025?;askAll;available/3;"available(_, ""12/9/2025"", _)";booking
The vehicle now is ready;tell;vehicle_status/1;vehicle_status(ready);car_control
We'll go at 180kph until we reach Poggiorusco;tell;current_speed/2;current_speed(180, kph);car_control
we need to refuel the car, the petrol level is low;tell;fuel_level/1;fuel_level(low);car_control
The battery is charging, only 20% missing;tell;battery_charge/1;battery_charge(80);car_control
Wiper is working at speed 3;tell;wiper_speed/1;wiper_speed(3);car_control
We traveled for 600km in 7 hours, really impressive!;tell;odometer_reading/2;odometer_reading(km(600), hour(7));car_control
Finally we are going to Kabul!;tell;destination_set/1;destination_set(kabul);car_control
Pressure of rear tires is 55PSI, they will explode!;tell;tire_pressure/2;tire_pressure(rear, 55);car_control
